,SOURCE,INSTRMT,PROF_NO,i_offset,temp,salt,p
6,ITP,8,1301,23,-0.9087995005844833,34.13972296928952,229.86980615995842
0,ITP,1,1259,24,-0.47192676540243295,34.37005238874554,221.0577585025147
1,ITP,1,1259,24,-0.4544083888860931,34.371657781324615,222.55775850251447
2,ITP,1,1259,24,-0.42708105357455434,34.38290979247438,224.05775850251425
3,ITP,1,1259,24,-0.39043654794778976,34.397313489010095,225.55775850251402
4,ITP,1,1259,24,-0.38875798449373433,34.397875994866475,227.0577585025138
5,ITP,1,1259,24,-0.3713567577290485,34.40384526961873,228.55775850251356
0,ITP,8,1301,24,-1.0950381965933325,33.985546928157035,220.90730615995977
1,ITP,8,1301,24,-1.0668265396269287,34.00926260800655,222.40730615995955
2,ITP,8,1301,24,-1.04066772530619,34.0310300127683,223.90730615995932
3,ITP,8,1301,24,-1.0247771815789892,34.04812170660598,225.4073061599591
4,ITP,8,1301,24,-1.004649576904797,34.06328934790952,226.90730615995886
5,ITP,8,1301,24,-0.9584607104582612,34.0972450363751,228.40730615995864
0,ITP,1,1259,25,-0.47184336350642586,34.37000037682791,221.0952585025147
1,ITP,1,1259,25,-0.45118377506817864,34.37178321746811,222.59525850251447
2,ITP,1,1259,25,-0.4269977513371086,34.38285685390463,224.09525850251424
3,ITP,1,1259,25,-0.39047264811944415,34.39733323131633,225.595258502514
4,ITP,1,1259,25,-0.3887078937485841,34.39789777806056,227.0952585025138
5,ITP,1,1259,25,-0.3676406196729158,34.405491634861356,228.59525850251356
0,ITP,8,1301,25,-1.0947114592621439,33.985980444938576,220.94480615995977
1,ITP,8,1301,25,-1.0654801515866077,34.00997961435284,222.44480615995954
2,ITP,8,1301,25,-1.0401578460073326,34.03109511591036,223.9448061599593
3,ITP,8,1301,25,-1.0243585719752957,34.04837603785685,225.4448061599591
4,ITP,8,1301,25,-1.0040019511290106,34.06411108047991,226.94480615995886
5,ITP,8,1301,25,-0.9577370540077407,34.098156882732475,228.44480615995863
0,ITP,1,1259,26,-0.4717599616104188,34.369948364910286,221.1327585025147
1,ITP,1,1259,26,-0.44795916125026425,34.37190865361161,222.63275850251446
2,ITP,1,1259,26,-0.4269144490996628,34.382803915334875,224.13275850251424
3,ITP,1,1259,26,-0.39050874829109855,34.39735297362257,225.632758502514
4,ITP,1,1259,26,-0.3886578030034339,34.39791956125464,227.13275850251378
5,ITP,1,1259,26,-0.3639244816167831,34.407138000103984,228.63275850251355
0,ITP,8,1301,26,-1.0941058132117638,33.98673141943432,220.98230615995976
1,ITP,8,1301,26,-1.0649471578682264,34.01005758598375,222.48230615995953
2,ITP,8,1301,26,-1.0396948561317902,34.03121916099568,223.9823061599593
3,ITP,8,1301,26,-1.0239563556067721,34.04857727273784,225.48230615995908
4,ITP,8,1301,26,-1.0033543253532244,34.06493281305031,226.98230615995885
5,ITP,8,1301,26,-0.9569261821532478,34.09918438221675,228.48230615995863
0,ITP,1,1259,27,-0.47166642072220233,34.369902707291466,221.17025850251468
